Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
[0m[2023-11-01 10:51:10.612][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=600493567, vt=2/96, sts=65171/265888786/0x283a502, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-01 11:02:23.527][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1273399385, vt=2/96, sts=61980/326174386/0x283a502, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-01 11:03:23.572][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 321B, age=1333438221, vt=2/96, sts=1750/331617587/0x283a502, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-01 11:15:05.557][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=2035438566, vt=2/96, sts=3200/394847986/0x283a502, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:24:20.932][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1704155822, vt=2/96, sts=56788/444927586/0x283a502, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-01 11:26:00.040][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 321B, age=-1605048045, vt=2/96, sts=914/453722403/0x283a502, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:49:10.825][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 321B, age=-214261773, vt=2/96, sts=17495/578987987/0x283a502, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-01 12:21:55.218][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14452) ps rtp packet 321B, age=1750129723, vt=2/96, sts=57173/100612823/0x2838802, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-01 12:42:06.250][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14452) ps rtp packet 1404B, age=-1333811432, vt=2/96, sts=45544/209577600/0x2838802, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-01 12:50:42.337][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14452) ps rtp packet 321B, age=-817716599, vt=2/96, sts=36660/256003201/0x2838802, muxer (nil) lost_rate:00% req_id:
[2023-11-02 09:09:20.005][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-714491718, vt=2/96, sts=2315/1274400/0x283640e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 11:53:21.636][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=537203899, vt=2/96, sts=14340/68277780/0x274bd0c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 11:54:42.922][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=618481220, vt=2/96, sts=15895/75547890/0x274bd0c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 11:56:21.854][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=717417139, vt=2/96, sts=17764/84378060/0x274bd0c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 12:16:20.139][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=1915701746, vt=2/96, sts=57613/193283100/0x274bd0c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 12:48:34.810][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=-444602134, vt=2/96, sts=34372/367381980/0x274bd0c, muxer (nil) lost_rate:00% req_id:
