Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-31 09:56:30.034][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 321B, age=968713473, vt=2/96, sts=56043/452293234/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-10-31 10:09:07.504][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=1726179084, vt=2/96, sts=25671/520610400/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-10-31 22:45:30.009][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 321B, age=-135940409, vt=2/96, sts=37957/40057201/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-31 22:46:00.047][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 321B, age=-105901210, vt=2/96, sts=40363/42775207/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-31 22:47:29.745][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 321B, age=-16205675, vt=2/96, sts=47260/50864678/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:15:00.114][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 321B, age=-1089689668, vt=2/96, sts=126/46801/0x2840105, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:15:21.758][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 321B, age=-1068065287, vt=2/96, sts=2594/1994401/0x2840105, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:26:34.283][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 321B, age=-395533054, vt=2/96, sts=58783/62503206/0x2840105, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:42:10.550][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 321B, age=-154233574, vt=2/96, sts=35918/51134401/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:51:36.757][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=411978992, vt=2/96, sts=19487/102124800/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:54:24.993][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=580221023, vt=2/96, sts=36246/117342000/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:54:52.805][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 321B, age=608024730, vt=2/96, sts=39058/119674801/0x284010e, muxer (nil) lost_rate:00% req_id:
