Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-01 10:07:45.387][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=1984276643, vt=2/96, sts=6859/196381969/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:11:56.843][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=-2059240617, vt=2/96, sts=20498/219552839/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:19:27.506][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=-1608566747, vt=2/96, sts=46298/260115377/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:19:48.946][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=-1587125865, vt=2/96, sts=47538/262031026/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:20:11.474][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=-1564606321, vt=2/96, sts=48908/264119476/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:26:29.750][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=-1186322279, vt=2/96, sts=5657/298146676/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:29:55.353][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 898B, age=-980719647, vt=2/96, sts=17470/316456546/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:35:35.088][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=-640993296, vt=2/96, sts=35051/347160226/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:53:28.670][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=432585482, vt=2/96, sts=30232/443502256/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:03:54.850][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=1058777782, vt=2/96, sts=60534/499688537/0x283e40e, muxer (nil) lost_rate:00% req_id:
