Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 18:17:25.555][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14424) ps rtp packet 321B, age=-335928744, vt=2/96, sts=35010/343551601/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 18:33:12.847][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=611371427, vt=2/96, sts=4157/611906490/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-28 18:40:02.949][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 321B, age=1021464599, vt=2/96, sts=60198/465717606/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 19:00:59.630][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=-2016815777, vt=2/96, sts=45470/761824800/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-28 19:17:45.877][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 1404B, age=-1010573727, vt=2/96, sts=2920/669657600/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 19:27:05.836][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 1404B, age=-450609065, vt=2/96, sts=10117/720054000/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 19:57:26.653][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 1404B, age=1370208244, vt=2/96, sts=27929/883929600/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 20:12:16.176][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 321B, age=-2035232935, vt=2/96, sts=15784/964033201/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 20:36:10.118][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 1404B, age=-601293867, vt=2/96, sts=64089/1093086000/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 20:56:03.346][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 1404B, age=591924395, vt=2/96, sts=45304/1200412800/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 20:58:36.785][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 1404B, age=745373318, vt=2/96, sts=4350/1214283600/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 21:18:46.495][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 321B, age=1955084778, vt=2/96, sts=54838/1323151202/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 21:46:35.832][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=-670556464, vt=2/96, sts=9438/1473379201/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 22:10:17.202][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 548B, age=750807782, vt=2/96, sts=43846/1839294000/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-28 22:33:13.497][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 321B, age=2127119254, vt=2/96, sts=14965/1725163191/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 22:46:57.515][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14424) ps rtp packet 1404B, age=-1343837879, vt=2/96, sts=17137/1799326786/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 23:10:36.881][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 1404B, age=75537098, vt=2/96, sts=3138/1927069186/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 23:20:15.814][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 1404B, age=654466388, vt=2/96, sts=55441/1979171986/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 23:29:11.350][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=1189997852, vt=2/96, sts=30994/2027365189/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-28 23:49:17.315][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 1404B, age=-1899005736, vt=2/96, sts=11807/2135861986/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:01:25.664][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=-1170658166, vt=2/96, sts=62838/2439478876/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:14:50.941][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 321B, age=-365376345, vt=2/96, sts=40722/2273921987/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:17:43.275][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 321B, age=-193040819, vt=2/96, sts=10970/2289430787/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:37:52.628][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=1016314394, vt=2/96, sts=65188/2636294476/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 01:00:37.201][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=-1914077702, vt=2/96, sts=29287/2704381276/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 01:13:04.741][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 321B, age=-1166556702, vt=2/96, sts=17979/2588324396/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 01:23:38.895][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1393B, age=-532383447, vt=2/96, sts=40969/2883452476/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 02:16:41.847][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=-1644412648, vt=2/96, sts=25152/2931854395/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 02:20:11.849][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14424) ps rtp packet 321B, age=-1434396649, vt=2/96, sts=63142/2950758355/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 02:22:08.528][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=-1317733391, vt=2/96, sts=21090/3144582076/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 02:24:04.251][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 321B, age=-1201995384, vt=2/96, sts=38857/2971638007/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 02:32:06.178][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=-720087277, vt=2/96, sts=22474/3253050076/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 03:05:11.382][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=1265135392, vt=2/96, sts=18460/3193703989/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 03:08:43.221][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 321B, age=1476967145, vt=2/96, sts=57457/3212798387/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 03:19:01.968][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 321B, age=2095721677, vt=2/96, sts=38973/3268457995/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 03:27:41.214][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 321B, age=-1679999223, vt=2/96, sts=2731/3315168006/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 04:06:59.328][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=678109152, vt=2/96, sts=53433/3765459676/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 04:10:51.887][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=910663177, vt=2/96, sts=6236/3786368476/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 04:31:31.318][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 1189B, age=-2144861537, vt=2/96, sts=129/3659915146/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 04:35:02.945][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 1365B, age=-1933234615, vt=2/96, sts=42999/3678929986/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 04:38:55.509][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 321B, age=-1700682517, vt=2/96, sts=25023/3699885947/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 05:05:49.623][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 1404B, age=-86561681, vt=2/96, sts=6719/3845156386/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 05:13:37.566][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=381376713, vt=2/96, sts=34288/3887265587/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 06:07:23.402][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=-687761041, vt=2/96, sts=14087/4177583987/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 06:10:17.726][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=-513425823, vt=2/96, sts=41864/4193211607/0x2706408, muxer (nil) lost_rate:00% req_id:
