Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 18:40:50.590][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14456) ps rtp packet 321B, age=1059189118, vt=2/96, sts=63046/469987201/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:08:13.657][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 321B, age=-772583618, vt=2/96, sts=25327/2238134398/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:19:00.599][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 321B, age=-125640614, vt=2/96, sts=27040/2296385989/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 01:08:52.634][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14456) ps rtp packet 321B, age=-1428580221, vt=2/96, sts=31315/2565665987/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 02:17:04.617][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 321B, age=-1631558369, vt=2/96, sts=29380/2933913589/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 07:58:39.850][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14456) ps rtp packet 321B, age=1683808799, vt=2/96, sts=65402/483424303/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 08:07:28.120][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14456) ps rtp packet 1404B, age=-2082897546, vt=2/96, sts=10067/531023490/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:47:46.591][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 1404B, age=-1749320661, vt=2/96, sts=34521/1720593436/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:20:40.948][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 321B, age=225038231, vt=2/96, sts=22168/1897986677/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 15:09:28.238][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14360) ps rtp packet 321B, age=1762392902, vt=2/96, sts=55247/211820043/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 15:35:27.018][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 321B, age=-973798229, vt=2/96, sts=7081/352076051/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 16:06:56.235][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14072) ps rtp packet 1404B, age=915417063, vt=2/96, sts=21933/522140040/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 16:30:16.775][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14360) ps rtp packet 321B, age=-1979004501, vt=2/96, sts=3252/648172442/0x2706406, muxer (nil) lost_rate:00% req_id:
