Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-27 22:37:47.604][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1719923149, vt=2/96, sts=42054/756970650/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:40:17.624][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1869934297, vt=2/96, sts=30792/770469840/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:43:44.200][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=2076522750, vt=2/96, sts=41892/789063210/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:46:09.083][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-2073563766, vt=2/96, sts=30016/802101240/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:51:39.142][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1743504802, vt=2/96, sts=21454/831808890/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:58:08.813][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1353829435, vt=2/96, sts=33794/866877210/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:00:38.817][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1203825048, vt=2/96, sts=23299/880376400/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:02:08.881][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1113767504, vt=2/96, sts=55544/888417540/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:02:38.908][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1083734749, vt=2/96, sts=28/891137610/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:03:10.749][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1051906474, vt=2/96, sts=10762/894052170/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:04:35.121][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-967522975, vt=2/96, sts=40389/901642950/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:05:03.253][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-939392594, vt=2/96, sts=50870/904175640/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:06:32.530][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-850119162, vt=2/96, sts=18492/912213180/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:07:32.497][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-790164984, vt=2/96, sts=40698/917606340/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:08:00.609][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-762037137, vt=2/96, sts=51121/920139030/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:10:21.609][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-621043719, vt=2/96, sts=37839/932827680/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:11:43.245][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-539401864, vt=2/96, sts=2492/940177080/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:15:01.345][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-341309496, vt=2/96, sts=10405/958003110/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:17:52.793][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-169858317, vt=2/96, sts=8346/973433340/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:29:12.160][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=509512016, vt=2/96, sts=62648/1034574120/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:30:12.180][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=569531834, vt=2/96, sts=19321/1039978170/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:35:48.667][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=906020031, vt=2/96, sts=12842/1070258580/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:37:12.514][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=989871966, vt=2/96, sts=43839/1077806160/0x27f8c08, muxer (nil) lost_rate:00% req_id:
