Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-06 15:01:35.156][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14072) ps rtp packet 1404B, age=991532226, vt=2/96, sts=22162/16135470/0x283a20b, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:34:05.548][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=857032460, vt=2/96, sts=29386/167951070/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:49:09.399][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1760873214, vt=2/96, sts=29870/249789600/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:52:40.518][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1971998875, vt=2/96, sts=26616/267519600/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:00:16.326][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1867163319, vt=2/96, sts=26228/308736000/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:05:41.565][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1541925092, vt=2/96, sts=53343/338022000/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:06:01.257][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1522231894, vt=2/96, sts=58853/339328800/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:06:40.394][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1483089629, vt=2/96, sts=4439/343872000/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:12:23.094][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1140390161, vt=2/96, sts=38021/374519070/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:22:34.930][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-528571273, vt=2/96, sts=16568/428994000/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:23:48.514][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-454988366, vt=2/96, sts=36865/435783600/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:26:01.145][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-322338161, vt=2/96, sts=7036/448553070/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:27:16.281][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-247205052, vt=2/96, sts=26853/455482800/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:31:41.153][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=17668519, vt=2/96, sts=38935/478663470/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:33:51.925][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=148438444, vt=2/96, sts=11807/491004000/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:43:01.899][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=698416425, vt=2/96, sts=44389/540223200/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:51:47.866][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1224375277, vt=2/96, sts=4266/586339200/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-06 19:52:46.045][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1282557412, vt=2/96, sts=21910/592110000/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 20:09:31.147][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-2007312588, vt=2/96, sts=44509/682660786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 20:10:47.446][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-1931005521, vt=2/96, sts=65351/689133587/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 20:23:43.180][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1155271423, vt=2/96, sts=16206/759286786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 20:46:44.631][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=226169453, vt=2/96, sts=3047/884523586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:12:48.106][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1789655299, vt=2/96, sts=38316/1023717586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:17:51.313][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=2092862639, vt=2/96, sts=56792/1051880386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:41:35.085][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-778343211, vt=2/96, sts=54535/1180652386/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-06 21:42:13.181][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-740236427, vt=2/96, sts=65086/1182920656/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:45:02.188][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-571231536, vt=2/96, sts=46299/1199066389/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-06 21:53:15.743][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-77685459, vt=2/96, sts=51983/1242871186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:54:12.211][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-21208342, vt=2/96, sts=1917/1248339599/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:06:43.842][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=730423868, vt=2/96, sts=12444/1316048386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:39:33.173][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1595211967, vt=2/96, sts=28890/1492837456/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:46:08.451][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1199947790, vt=2/96, sts=6345/1528318786/0x278a107, muxer (nil) lost_rate:00% req_id:
