Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-06 21:34:52.957][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1192461238, vt=2/96, sts=10815/1142967586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:41:46.156][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-779261198, vt=2/96, sts=57460/1181289586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:43:32.244][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-673157906, vt=2/96, sts=21565/1189666795/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:50:50.031][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-235376951, vt=2/96, sts=12498/1230004786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:59:42.721][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=297313332, vt=2/96, sts=26294/1278507589/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:01:30.909][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=405506858, vt=2/96, sts=55972/1287082787/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:02:56.093][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=490688686, vt=2/96, sts=14160/1296111586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:07:19.056][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=753647513, vt=2/96, sts=22300/1318190393/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:07:41.201][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=775784334, vt=2/96, sts=28335/1321534786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:09:08.771][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=863365181, vt=2/96, sts=52498/1328911186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:25:59.814][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1874407419, vt=2/96, sts=2773/1419908397/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:27:49.736][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1984318545, vt=2/96, sts=33075/1430546386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:30:01.244][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 176B, age=2115841774, vt=2/96, sts=4468/1440500386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:31:29.832][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-2090537165, vt=2/96, sts=28326/1449896386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:35:11.275][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-1869095836, vt=2/96, sts=24082/1469199859/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:44:01.905][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1338466319, vt=2/96, sts=37464/1516784386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:52:27.284][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-833085105, vt=2/96, sts=44935/1562954386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:52:49.116][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-811253387, vt=2/96, sts=50977/1564261186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 22:59:46.503][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-393870780, vt=2/96, sts=30529/1601236787/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:01:12.182][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-308195203, vt=2/96, sts=53533/1610337587/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:09:06.594][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=166222845, vt=2/96, sts=53099/1652936386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:15:05.737][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=525366878, vt=2/96, sts=21786/1684504787/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:37:14.501][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1854131270, vt=2/96, sts=58196/1804997056/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:43:05.721][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-2089623298, vt=2/96, sts=24910/1836223186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:57:21.107][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1234235254, vt=2/96, sts=64194/1913306386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:08:45.313][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-550023546, vt=2/96, sts=56813/1974322796/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:12:49.915][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-305421521, vt=2/96, sts=59963/1996912787/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:18:17.135][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=21793516, vt=2/96, sts=17459/2026558786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:20:15.765][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=140428597, vt=2/96, sts=50036/2037650386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:26:54.854][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=539516199, vt=2/96, sts=29596/2071731586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:36:47.177][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1131837747, vt=2/96, sts=62068/2125249186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:44:47.639][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1612301847, vt=2/96, sts=63574/2169993586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:48:45.113][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1849776499, vt=2/96, sts=63548/2190232786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:59:28.230][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1802077717, vt=2/96, sts=41485/2248628386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:09:37.549][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1192762793, vt=2/96, sts=11310/2302876786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:14:49.792][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-880512288, vt=2/96, sts=30914/2331611987/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:19:50.052][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-580253612, vt=2/96, sts=48165/2357593456/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:21:13.581][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-496727428, vt=2/96, sts=4939/2366542797/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:41:30.161][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=719850183, vt=2/96, sts=11549/2476166387/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:50:31.928][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1261622794, vt=2/96, sts=29005/2524600786/0x278a107, muxer (nil) lost_rate:00% req_id:
