Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-07 10:09:15.605][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=955330667, vt=2/96, sts=0/0/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:10:21.558][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=1021297256, vt=2/96, sts=17051/6202830/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:12:10.709][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=1130447248, vt=2/96, sts=45852/15112809/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:12:33.205][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=1152941617, vt=2/96, sts=51873/16477470/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:13:48.533][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=1228271958, vt=2/96, sts=6290/25142400/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:18:59.080][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=1538816164, vt=2/96, sts=22155/51534068/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:34:38.659][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=-1816570971, vt=2/96, sts=27758/136393209/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 14:49:43.028][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14156) ps rtp packet 1404B, age=602895013, vt=2/96, sts=0/0/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-07 14:58:05.291][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14156) ps rtp packet 321B, age=1105159633, vt=2/96, sts=10948/45622547/0x278a109, muxer (nil) lost_rate:00% req_id:
[2023-11-01 13:08:01.198][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=85138559, vt=2/96, sts=0/0/0x2706409, muxer (nil) lost_rate:00% req_id:
