Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-02 13:49:47.868][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 321B, age=-1388739821, vt=2/96, sts=45185/49248003/0x2838402, muxer (nil) lost_rate:00% req_id:
[2023-11-02 13:55:33.221][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 1404B, age=-1043396078, vt=2/96, sts=6341/80316000/0x2838402, muxer (nil) lost_rate:00% req_id:
[2023-11-02 14:04:56.770][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 321B, age=-479839637, vt=2/96, sts=38666/130975208/0x2838402, muxer (nil) lost_rate:00% req_id:
[2023-11-02 14:13:04.959][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 321B, age=8334346, vt=2/96, sts=1818/174888012/0x2838402, muxer (nil) lost_rate:00% req_id:
[2023-11-02 14:17:12.978][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 321B, age=256369073, vt=2/96, sts=15373/197316002/0x2838402, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-02 20:01:40.671][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 321B, age=-550771543, vt=2/96, sts=7726/10712251/0x283e409, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-02 20:05:38.351][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 1404B, age=-313092807, vt=2/96, sts=23566/32104350/0x283e409, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-02 20:11:59.131][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 321B, age=67685520, vt=2/96, sts=49150/66390843/0x283e409, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:24:30.544][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 321B, age=819102791, vt=2/96, sts=32006/134002351/0x283e409, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-02 20:46:59.706][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 1404B, age=-2126705243, vt=2/96, sts=49737/254566620/0x283e409, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-02 20:47:23.926][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 1404B, age=-2102488159, vt=2/96, sts=1201/3114000/0x283e00d, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-02 20:47:48.633][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 321B, age=-2077776374, vt=2/96, sts=2203/5515205/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-03 17:38:15.901][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14320) ps rtp packet 1404B, age=-64966484, vt=2/96, sts=42553/35402760/0x283a206, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:48:13.370][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=2034473189, vt=2/96, sts=0/0/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:52:06.483][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 321B, age=-2027387562, vt=2/96, sts=15897/20671201/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:53:56.349][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 321B, age=-1917508545, vt=2/96, sts=18809/31359652/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 16:59:30.872][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=-387373532, vt=2/96, sts=0/0/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:07:21.494][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=83256993, vt=2/96, sts=21297/41670002/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:08:56.143][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=177903523, vt=2/96, sts=41084/49374000/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:12:15.781][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=377541703, vt=2/96, sts=17218/67705216/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:13:33.661][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=455417234, vt=2/96, sts=34325/74635219/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:13:59.602][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=481356720, vt=2/96, sts=39377/78242401/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:14:51.590][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=533346015, vt=2/96, sts=45768/81550801/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:15:15.418][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=557162758, vt=2/96, sts=49137/85060800/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:16:47.436][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=649191228, vt=2/96, sts=53049/92548833/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:18:02.729][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=724493432, vt=2/96, sts=55329/99435601/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:18:25.513][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=747274604, vt=2/96, sts=55863/100713634/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:21:36.296][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=938060013, vt=2/96, sts=2723/118904416/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:22:39.173][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=1000928916, vt=2/96, sts=6607/124902000/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:31:39.115][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=1540869698, vt=2/96, sts=35406/173221214/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:32:43.480][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=1605243963, vt=2/96, sts=38329/179391600/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:33:04.332][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=1626078030, vt=2/96, sts=39170/180684010/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:33:52.434][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=1674197918, vt=2/96, sts=41264/185691600/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:35:22.773][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=1764529728, vt=2/96, sts=45478/193298671/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:55:11.593][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=-1341623867, vt=2/96, sts=22156/300744000/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:56:01.597][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=-1291624793, vt=2/96, sts=27349/304016400/0x278a10b, muxer (nil) lost_rate:00% req_id:
